URL,SEO Score,Critical Issues,High Issues,Medium Issues,Low Issues,Top Issues,Has Noindex,Has Canonical,Is HTTPS,Has Structured Data,Has Title,Has Meta Description,H1 Count,Images Without Alt,Internal Links
https://www.sssdynamics.com/,80,0,0,0,4,"Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/, Excessive internal links (216, recommended: <100)",False,True,True,True,True,True,1,0,216
https://www.sssdynamics.com/recommended-drive-rebuilds,25,0,0,7,1,"H1 is identical to title tag (may indicate over-templating), Meta description too short (95 chars, recommended: 120-160), Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/recommended-drive-rebu, Link without anchor text: https://www.sssdynamics.com/wp-content/uploads/bef",False,True,True,True,True,True,1,0,207
https://www.sssdynamics.com/resources/videos,70,0,1,0,3,"Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/resources/videos, Excessive internal links (194, recommended: <100), Missing meta description",False,True,True,True,True,False,1,0,194
https://www.sssdynamics.com/solutions/reworld-hillsborough-190ft-long,75,0,0,1,3,"Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/solutions/reworld-hill, Excessive internal links (198, recommended: <100), 1 image(s) missing alt text",False,True,True,True,True,True,1,1,198
https://www.sssdynamics.com/industries/food-grade-conveyors,80,0,0,0,4,"Meta description too long (172 chars, recommended: 120-160), Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/industries/food-grade-, Excessive internal links (207, recommended: <100)",False,True,True,True,True,True,1,0,207
https://www.sssdynamics.com/contact,65,0,0,2,3,"Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/contact, Excessive internal links (194, recommended: <100), Canonical points to different URL: https://www.sssdynamics.com/contact-us/, Title too long (72 chars, recommended: 30-70)",False,True,True,True,True,True,1,0,194
https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary,50,0,0,5,0,"1 image(s) missing alt text, Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/equipment/vibratory-co, Excessive internal links (224, recommended: <100), 1 potentially broken internal link(s)",False,True,True,True,True,True,1,1,224
https://www.sssdynamics.com/free-ebook-vibratory-conveyor,80,0,0,0,4,"Meta description too long (162 chars, recommended: 120-160), Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/free-ebook-vibratory-c, Excessive internal links (193, recommended: <100)",False,True,True,True,True,True,1,0,193
https://www.sssdynamics.com/solutions-center/?fwp_content_type=solutions,60,0,0,2,4,"Meta description too long (175 chars, recommended: 120-160), Link without anchor text: https://www.sssdynamics.com/, Link without anchor text: https://www.sssdynamics.com/solutions-center/?fwp_, Excessive internal links (206, recommended: <100), Canonical points to different URL: https://www.sssdynamics.com/solutions-center/",False,True,True,True,True,True,1,0,206
https://www.sssdynamics.com/cdn-cgi/l/email-protection,5,1,3,0,0,"Missing canonical tag, Title too short (29 chars, recommended: 30-70), Missing meta description, Page has noindex directive",True,False,True,False,True,False,1,0,0
